B,C,D,E
67,66,58,61
68,67,61,62
69,68,62,63
70,69,63,65
71,70,64,66
72,71,65,68
73,72,66,69
74,73,67,70
75,74,68,71
76,75,70,72
77,76,71,73
78,77,72,74
79,78,73,75
80,79,74,76
81,80,75,77
82,81,76,78
83,83,77,79
84,87,78,80
85,88,79,81
86,158,80,82
87,159,81,83
88,160,82,84
89,161,83,85
90,162,84,86
91,163,85,87
92,164,86,88
93,165,87,89
94,166,88,90
95,167,89,91
96,168,90,92
97,169,91,93
98,170,92,94
99,171,93,95
100,172,94,96
101,173,95,97
102,174,96,98
103,175,97,99
104,176,98,100
105,177,99,101
106,178,100,102
107,179,101,103
108,180,102,104
109,181,103,105
110,182,104,106
111,183,105,107
112,184,106,108
113,185,107,109
114,186,108,110
115,187,110,111
116,188,111,112
118,189,112,113
119,190,115,114
120,191,116,116
124,192,117,117
138,193,118,118
162,194,119,119
167,195,120,121
186,199,121,124
192,200,124,125
